provider,amount_raw_wei,amount_normalized_18d
0x911362b7c5ab388df79c21b4a290468724cf0901,161893687400054158934650,161893.68740005415893465
0xbcca383e7be60f9300469e32ec1d1b5af73bfa0e,40736623921314883158550,40736.62392131488315855
0xdd239124d292fb7560b9c636207214d0b34bce60,31000000000000000000000,31000
0x6f468cc54e6f5293345876cafb8e8e0ec09d8695,23800000000000000000000,23800
0x7a5ea5f5d1beb6dd9f9de01487043fd9bca81996,22504988919090431164526,22504.988919090431164526
0x830fb488e3da47f2b12feede6af5d00f1eaa136a,20751226724904255755192,20751.226724904255755192
0xe868b8c09fd2c8c3f74d54f34f7325ab1c94c71f,20349125762865568841352,20349.125762865568841352
0xdea975931e3c827cb64cd978c5b43504e56d675c,20000000000000000000000,20000
0xf2b8c142edcf2f3cc22665cce863a7c9a3e9f156,19107655224713866598249,19107.655224713866598249
0xeefe08a95db235677c4f05c1480604f4efb599a5,18437621572424375049738,18437.621572424375049738
0x6cf52858c674047bc694a4468a1804cec69e990e,14177657927567927103265,14177.657927567927103265
0xa9f72b889e7d238a64b16dd2addd148c740ce292,13637738619218938550413,13637.738619218938550413
0x6ee5bef0c49154f89749ab4057683da6f4429331,12390791959869702407913,12390.791959869702407913
0x4a8275bcb124727acdba6dca75eeec76e1fc27cc,10487554756076040070602,10487.554756076040070602
0x3a983ffaa79e2d12ef94b50f68346a4b9c653a9a,10000000000000000000000,10000
0x0f6025f174284911416b3d33f05d7fb6aa9911cf,8093876993380915559480,8093.87699338091555948
0xe1a79fc50c0ab5bbac5d8a5ab62c09deb85c737f,7588000000000000000000,7588
0x5640d97fb78b6b59fa03aef4d336ca16d592dcd3,7444983129149144745446,7444.983129149144745446
0xb86db4315416e5969d6d7f12e17202acb95baad3,7199390000000000000000,7199.39
0x295bdafd8d7b7c3289f13c3f98dee7b569b7980f,6691010318401284806794,6691.010318401284806794
0x5849fc15d83410e2af76fc9f70cf65e29d559de5,6449341518450000000000,6449.34151845
0x6978431cabfceb990407f25cd1c959951f32dde8,6401595413359160642920,6401.59541335916064292
0xf4febbdca48bc920b885e47731cce7d43eecade8,6247500000000000000000,6247.5
0x7488d2ce5deb26db021285b50b661d655eb3d3d9,6068908548976137079688,6068.908548976137079688
0xf3811c994dd5aa8156d6f0274377e41195a2d3f8,6000591231093607752828,6000.591231093607752828
0x166431c92eca872b9206fae3d00c46ae28f81116,6000000000000000000000,6000
0x589f970e3c8d7e00b38112fcb01fa879d4061a67,5930862360325457042532,5930.862360325457042532
0x5e175e89ee8ac083f974210a75c1ba1d542a4fe4,5532173097147560721688,5532.173097147560721688
0x00da3dd2af194b014bb08f09b2bb9fb4dcd141ba,5524574355092179903112,5524.574355092179903112
