Address,Raw Amount,Formatted Amount (6 decimals)
0xab504A4E83C5d19Fb24038D43c136e374cf85f8F,12431167,12.431167
0x0438bf19efE862021911176d608D46D4ad33f78A,12379121,12.379121
0x6f27c55B55e6952909691Cd8f2269D29155cCDF6,12267246,12.267246
0x7F42690CBE55899e0d7260a302e5365c381abBCB,12012834,12.012834
0x9494D5950802446F2AbDF81149CEA96227861b5c,11977815,11.977815
0x995816d808fa4320D093812CD9dfefFBC79CAEF6,11849025,11.849025
0xeD05Da1A3eD48c2bd08586D6AD8f440f9b7eA8FC,11807219,11.807219
0x4caDFE63af96404BcB3FbEF877Dc7AAf2593156d,11696441,11.696441
0x1325D89919DfB53C1C458fD5bEC08d00aF796ef4,11650532,11.650532
0x608264C6F00ef195Ab97C9d3718b01335b2D5E91,11650532,11.650532
0x30AC458c5BDFcaEfC1231E6d639dD2519e8D41be,11570794,11.570794
0xB820E2624a56e82901fdc7757aAD5e35805d8720,11521400,11.521400
0x6F32C12B836c03508eEED6C4236C5847e33F1e03,11441892,11.441892
0xCc49A6D063ba72929600D1ED60D863A540b2565a,11374561,11.374561
0xe48012ABB45ec9Af116D95ef1bCc547E62d9c6E8,11344736,11.344736
0x7919Fc19D94B5FF77677b94a441446e4BA3dC3dA,11217223,11.217223
0x767B379c55c4AA2654003Acda91Cb055e50980bC,11054028,11.054028
0xB4AC986d95E2FD43C5E757D8dD8F8cFec2E70F32,11043644,11.043644
0x352802A31A18Bc0CC6D78d5fBCbAEC31392fd00E,11013832,11.013832
0x5ff12d617f944bcda83DaFF7FfF4eD75A003c14B,11005342,11.005342
0x1325e1c9eEEbdEB5050673BCF2887E093a7b264C,10954148,10.954148
0x30f03A6bD89A0A2dCCDa8D9Ab00311DB87DCB39F,10866845,10.866845
0x777b927Df7afF3A37d5A8F9e7A6Ee638635fDb2e,10756509,10.756509
0x994C04E05478Ec6E1E135013EA15ca6E669e471e,10741107,10.741107
0xD543567D4de35439642Fc4DB57809381681fba18,10718213,10.718213
0x90eb8081c94b56a8278d016252793FD82c0059e7,10674990,10.674990
0x0A5e1766366E278Ff415d0521FDe933C5adb36F3,10632117,10.632117
0xe3ad38D0C2AaCb7cb59ddF0f7B8aAA1B2121cDf3,10605551,10.605551
0x47f1bb41fE495AC8E7A1247211FD7fb201d249F8,10583176,10.583176
0xF810c58bBf06334465DE654595b3C67c07AD7472,10560611,10.560611
0x5dbF5B3bdF277D8e1E5AAa9343E4410f4c1bbb1B,10552105,10.552105
0xce9bCE72Ac5085e9b7CDbf199db9B968d1d2B744,10517477,10.517477
0xDc9b7Bd55550a9fe69f003d137C7B9585700f376,10513531,10.513531
0x042A7c4D7bb49760C1eAe35209193B7725c512c3,10430819,10.430819
0xCf0db1b6b91097d462Db5dd817336d703005315a,10429863,10.429863
0x6C088D0e32b728f7daE78404Db379dfBddEbE842,10427766,10.427766
0xF69afF19631d0833083A62dFce42780fdca6E056,10418664,10.418664
0xA069F2204CAB4862c861925AD40b113D158A5E2F,10413876,10.413876
0x4Cf23fCf265a68bDfa13C95c1E4a29d4632Ea77f,10392975,10.392975
0x4C05518d1296720676f8Ac9087F29f75E214d945,10372856,10.372856
0x4371932723ebBdc1caA4C25F58D47bF13F67b699,10340913,10.340913
0x0a32d140700edb28165C88D1000A910c247dFDCA,10309339,10.309339
0x4d34E18483DdFBdaF9359a6Cf4d0FcAC0400f3a1,10289413,10.289413
0x6FacD487678DF3654e7F7079025c91930F5fD66B,10172467,10.172467
0xbc7198F5D03AdA09C2e1cDc3c37E836D8bb0d688,10162837,10.162837
0x7bE588d13553B6fB7Be3C05E8Df49cd392AdD6c6,10144580,10.144580
0xF64e6017B79f3640A4d3E395F88dC74dFD35D806,10130228,10.130228
0xcb31D1a54A3b3cabaab9FFE5e9D4B374d0738A91,10125495,10.125495
0xB1D48E8e679544d3B4aC9617E1d8F9bA76069eA6,10111291,10.111291
0x2dc88C74058ff2d8dC4b186c92667D185825dF7C,10090835,10.090835
0x6F8b82D2838790270B45D46657f0D75d6AEcE59d,10084790,10.084790
0x648A6D87074EFbc234474CF0B34496AdBB2e4280,10050158,10.050158
0x13E1b1dD4600F3BC61C1e84d24d799621797f6A0,9977777,9.977777
0x40590436C91356A385025a56Aa458ACcbE0FE774,9927035,9.927035
0xc40e6f48153079719fA1C93D399F10895f810504,9873214,9.873214
0xea615C18D057747e5010b8a29c3EF1b8574a5e92,9818005,9.818005
0x95c944cb1Adc97638408B2ECb8229fFd84D4c41f,9688066,9.688066
0x9e7Aa5B92F925163aDD7B0A9385f41B68e22390e,9665258,9.665258
0x64174450c49242535B4184e3988CC4145B80526C,9599753,9.599753
0x94C851Cc9C7B5ECd9C98189532E660cdd4c9972e,9555662,9.555662
0x4664C5A7980952F77Bf1A902D62A1dB94E296955,9546761,9.546761
0x4C1C4B87A7b45770FC1D53F79C5bC09855FF7Ab4,9396611,9.396611
0x9470895c84Eb7dFA0A68b50E5985ce41406A7726,9358799,9.358799
0xA6D83BfA81CBd783b71fDeB80123bC54E9cc1e9B,9327496,9.327496
0x78A827ba31FDA88AD51946b59C89C4C111A8460E,9326449,9.326449
0x2482Dc04AC628a4b2700c071BFEe557Fd86C91EA,9288303,9.288303
0x6629793c95bA4497068507CAF51B8097ECF29d23,9131036,9.131036
0x35a2122D2a8437726cbF6bc8659BD28e0298C583,9088627,9.088627
0x6a141c36235Ef2c2AAa3328037F4146C61F74928,9031529,9.031529
0x82c57F38534e2C91562eF14af8E9f2A2bf561D54,8968108,8.968108
0x5f5fa9E2AF2D76920Defb21D375e6A17Fe7B1896,8942896,8.942896
0x22a72b7C6826297951E6A98757B9fB8eCc172399,8940024,8.940024
0x55Bd47F04af192a6b7107E8d4114dcFc00Dd39cf,8810488,8.810488
0x7B74e1Cb77a59773bf6c62CeF93a7224895B8f86,8729966,8.729966
0x5Be66f4095f89BD18aBE4aE9d2acD5021EC433Bc,8616622,8.616622
0x9B3Dc6E22269B7d9A24C177906b32441DAAe146B,8444165,8.444165
0x8cCAf951C46899Aa11E96435261C271c3E5Ba963,8424694,8.424694
0xc2979f313dD6731efD591e983d4CC5231E49a387,8390753,8.390753
0xFFd10c89B5fF951E2abaD181D507FBc6f172104d,8355083,8.355083
