provider,amount_raw_wei,amount_normalized_18d
0x6271add46dcbb4b4ef5b32f18704bdd716bd9be9,11735652241153525557186,11735.652241153525557186
0xc7ffa5070a1cdb10dfcc6cc20a59d24c3fb54e05,11468626830550234838186,11468.626830550234838186
0xa9374a95326cd458a348a11f95cb8423448cffef,11237664789710000000000,11237.66478971
0x24d014e96ec8a0a1b23c3ce302eb463e46f3e345,11052790700000000000000,11052.7907
0x247fa9a42f6c4505fbdd8bcd7def46e1585b5867,11000000000000000000000,11000
0xc8728ae130381eb77fc9a8b715564b00e83e19df,10823596054166628133607,10823.596054166628133607
0x0e7582365dae7b34930db32e5cd73ee94b6668dc,10672000000000000000000,10672
0x0fadcd8d7862bb2b39d63d6a30c6b7c660c41d32,10657128354639359447183,10657.128354639359447183
0x79937791abc7c9c87b251743b2929898b40eb052,10475225245442451193421,10475.225245442451193421
0x9eaee4cb4bcbd5fb8b3cbcd62cee5f6451cf082f,10405682463491288293521,10405.682463491288293521
0x5f43cd11f9c147a2320fdd900ef35b68a0a39a12,10336311068986437649887,10336.311068986437649887
0xabaa03844151735f9455d5f9ab02dab7d3d37724,10211756769304670171687,10211.756769304670171687
0x3b86b85181ed3678197e7f380c0b785ab8278b43,10140449640276417665186,10140.449640276417665186
0xb97ebf6ff02d23d141cb1676097cab9921a6226b,10002911967733069047968,10002.911967733069047968
0x5f4f60658567f380f3aa4c6323ebaaf52d27c3a0,10000000000000000000000,10000
0x586208843e4b7078dbab9898f7b592e5987d3019,9978700000000000000000,9978.7
0xbe937e745af31d9c83fe824402888c3499b4f81d,9686939038142292728513,9686.939038142292728513
0x091b868d53249e34c5df39fa98628f4dc2d46bc0,9402533588122067750485,9402.533588122067750485
0x2bf6b87ac34bebc823375fd1d7bc050c968e9e52,9374554083409661484529,9374.554083409661484529
0x05976ae3ab8e6b3b01039f616670d3dd18b440a8,9240605097773433112916,9240.605097773433112916
0xa69414a1b7df11bb692cfa38121453e9057ddd46,9011718797970000000000,9011.71879797
0xb19343cafadd9f798da8467b5f9ab77378645685,8946719591129753688768,8946.719591129753688768
0xecd03daf3685eeddf1c9944bf084e5343f32b372,8944075897190000000000,8944.07589719
0xaaef51cad5df293015699c6a7d225c51a81ad6a7,8810749900000000000000,8810.7499
0x3178490d60b5cceaa5a79fd4d9050c7405bab80c,8648551817291411140664,8648.551817291411140664
0x0b40789f253f7c8ddcceaa801a67be41e12f578a,8550789285149954068152,8550.789285149954068152
0x7bccb5565affe6f46ad13c325175d6738788c15a,8502276462887666702580,8502.27646288766670258
0x379160a4ded186253b579f890007540c8dad307c,8389622979770000000000,8389.62297977
0xeea24a5bbfe49ac322275669e692124c2ff3da0e,8239040100000000000000,8239.0401
0xce9ca6386ca61b79c596a5d17702f9d3f86339b7,8201782761110141269387,8201.782761110141269387
0xacd7f2c7221c35ff0ab461d96485180c645bf696,8087736192520424328706,8087.736192520424328706
0xe5120147b0451d776a16ffdc630d3a220a9ee8a6,8018035418695699908296,8018.035418695699908296
0x30709180d8747e5bc0bd6e1bff51baedab31328d,7725597227428749290832,7725.597227428749290832
0xb6bf16234bf3f5ca254c5c966e9a2ed809dc46c0,7704224104729008147897,7704.224104729008147897
0xda8746f09ba5177fdfd7389636c5bc598f0cc372,7623700000000000000000,7623.7
0xa3a6dd35c1f1d3ead182bdd6e2d0d00f31d3f6c9,7601892720010000000000,7601.89272001
0x1ef721932e4df3fa360ba11ae9dba6c95ff6b0ae,7511575282352335020323,7511.575282352335020323
0xc93ac77e40cb5e1ffb77429ec9f8109d0e33ef5a,7486716458738291149164,7486.716458738291149164
0xc00caffa19952ba7860c055ff0f0c62dc088e9bb,7420787695432876307044,7420.787695432876307044
0xadb65d052c7ad4b520c80b9d864ffa001be853a3,7397182902436326614297,7397.182902436326614297
0x199601697996af7181ecc45a4edb71c411ce40e4,7377289086455878273736,7377.289086455878273736
0xf4e801436d80c5359edf1ea9aade358f25990a29,7366391048973422259524,7366.391048973422259524
0xe1a77fde710ccf65d0b4dae3511bb6c9056e316c,7343797980789736659920,7343.79798078973665992
0x70cd1f77629f5cb5deeb8cbd50261d0aba4603b5,7330473662822334707114,7330.473662822334707114
0xd81a8461c468b17697b0c37d7548a83c5167654d,7304019824727151831417,7304.019824727151831417
0xc6f4d92dc72b4dc671c9ef3bda3a28c1eb38d008,7177892671023120029524,7177.892671023120029524
0x0b3bbcffe4bfe08cc923e1da8131abb2de10e0ee,7152634144950062881658,7152.634144950062881658
0x9fc11ba7e5562ebac6c026fb02de11fa115609c7,7036513257577709931896,7036.513257577709931896
0xfb076dc52e7b750fb7779811048993541db4e572,7000000000000000000000,7000
